"DcHealthEdgeId","Source","SourceType","Relationship","Target","TargetType","DomainName","SiteName","RoleName","Severity","Status","Notes"
"DCH001","dc02.contoso.com","DomainController","ServesDomain","contoso.com","ADDomain","contoso.com","Branch-01","","Warning","Review","DC health status: Review"
"DCH002","dc02.contoso.com","DomainController","LocatedInSite","Branch-01","ADSite","contoso.com","Branch-01","","Info","OK",""
"DCH003","dc02.contoso.com","DomainController","UsesTimeSource","dc01.contoso.com","TimeSource","contoso.com","Branch-01","","Info","Success","DomainHierarchy"
"DCH004","dc03.contoso.com","DomainController","ServesDomain","contoso.com","ADDomain","contoso.com","Branch-01","","Critical","Blocked","DC health status: Blocked"
"DCH005","dc03.contoso.com","DomainController","LocatedInSite","Branch-01","ADSite","contoso.com","Branch-01","","Info","OK",""
"DCH006","dc03.contoso.com","DomainController","UsesTimeSource","Local CMOS Clock","TimeSource","contoso.com","Branch-01","","Info","Success","LocalClock"
"DCH007","dc01.contoso.com","DomainController","ServesDomain","contoso.com","ADDomain","contoso.com","HQ","","Warning","Review","DC health status: Review"
"DCH008","dc01.contoso.com","DomainController","LocatedInSite","HQ","ADSite","contoso.com","HQ","","Info","OK",""
"DCH009","dc01.contoso.com","DomainController","UsesTimeSource","time.windows.com,0x8","TimeSource","contoso.com","HQ","","Info","Success","ManualNtp"
"DCH010","dc02.contoso.com","DomainController","HoldsFsmo","InfrastructureMaster","FSMORole","contoso.com","Branch-01","InfrastructureMaster","Info","OK","contoso.com"
"DCH011","dc01.contoso.com","DomainController","HoldsFsmo","PDCEmulator","FSMORole","contoso.com","HQ","PDCEmulator","Info","OK","contoso.com"
"DCH012","dc01.contoso.com","DomainController","HoldsFsmo","RIDMaster","FSMORole","contoso.com","HQ","RIDMaster","Info","OK","contoso.com"
"DCH013","dc01.contoso.com","DomainController","HoldsFsmo","DomainNamingMaster","FSMORole","contoso.com","HQ","DomainNamingMaster","Info","OK","contoso.com"
"DCH014","dc01.contoso.com","DomainController","HoldsFsmo","SchemaMaster","FSMORole","contoso.com","HQ","SchemaMaster","Info","OK","contoso.com"
"DCH015","dc03.contoso.com","DomainController","HasFinding","Port","FindingCategory","contoso.com","Branch-01","","Critical","Blocked","LDAP TCP/389 status is Timeout."
"DCH016","dc03.contoso.com","DomainController","HasFinding","Service","FindingCategory","contoso.com","Branch-01","","Critical","Blocked","Netlogon service status is Stopped."
"DCH017","dc03.contoso.com","DomainController","HasFinding","Share","FindingCategory","contoso.com","Branch-01","","Critical","Blocked","NETLOGON share status is Missing."
"DCH018","dc03.contoso.com","DomainController","HasFinding","Share","FindingCategory","contoso.com","Branch-01","","Critical","Blocked","SYSVOL share status is Missing."
"DCH019","dc02.contoso.com","DomainController","HasFinding","DecommissionReadiness","FindingCategory","contoso.com","Branch-01","","Warning","Review","Domain controller currently holds FSMO roles: InfrastructureMaster."
"DCH020","dc02.contoso.com","DomainController","HasFinding","Port","FindingCategory","contoso.com","Branch-01","","Warning","Review","GC-LDAPS TCP/3269 status is Closed."
"DCH021","dc02.contoso.com","DomainController","HasFinding","Port","FindingCategory","contoso.com","Branch-01","","Warning","Review","LDAPS TCP/636 status is Closed."
"DCH022","dc03.contoso.com","DomainController","HasFinding","Locator","FindingCategory","contoso.com","Branch-01","","Warning","Review","No DC locator SRV records matched this domain controller."
"DCH023","dc03.contoso.com","DomainController","HasFinding","Port","FindingCategory","contoso.com","Branch-01","","Warning","Review","GC-LDAPS TCP/3269 status is Closed."
"DCH024","dc03.contoso.com","DomainController","HasFinding","Port","FindingCategory","contoso.com","Branch-01","","Warning","Review","LDAPS TCP/636 status is Closed."
"DCH025","dc03.contoso.com","DomainController","HasFinding","Service","FindingCategory","contoso.com","Branch-01","","Warning","Review","DNS service status is NotFound."
"DCH026","dc03.contoso.com","DomainController","HasFinding","Time","FindingCategory","contoso.com","Branch-01","","Warning","Review","Sibling time inventory reports risky or unknown time source."
"DCH027","dc01.contoso.com","DomainController","HasFinding","DecommissionReadiness","FindingCategory","contoso.com","HQ","","Warning","Review","Domain controller currently holds FSMO roles: PDCEmulator, RIDMaster, DomainNamingMaster, SchemaMaster."
