"PortCheckId","DomainControllerId","HostName","PortName","Protocol","Port","Open","Status","LatencyMilliseconds","Severity","ReadinessImpact","SourceCollectionFile","Notes"
"P001","DC001","dc02.contoso.com","LDAP","TCP","389","true","Open","30","Info","None","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json",""
"P002","DC001","dc02.contoso.com","LDAPS","TCP","636","false","Closed","31","Warning","Review","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json","Connection refused"
"P003","DC001","dc02.contoso.com","GC","TCP","3268","true","Open","31","Info","None","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json",""
"P004","DC001","dc02.contoso.com","GC-LDAPS","TCP","3269","false","Closed","32","Warning","Review","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json","Connection refused"
"P005","DC002","dc03.contoso.com","LDAP","TCP","389","false","Timeout","1500","Critical","Blocker","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json","Connection timed out after 1500 ms."
"P006","DC002","dc03.contoso.com","LDAPS","TCP","636","false","Closed","11","Warning","Review","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json","Connection refused"
"P007","DC002","dc03.contoso.com","GC","TCP","3268","false","Closed","11","Info","None","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json","Connection refused"
"P008","DC002","dc03.contoso.com","GC-LDAPS","TCP","3269","false","Closed","11","Warning","Review","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json","Connection refused"
"P009","DC003","dc01.contoso.com","LDAP","TCP","389","true","Open","18","Info","None","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json",""
"P010","DC003","dc01.contoso.com","LDAPS","TCP","636","true","Open","20","Info","None","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json",""
"P011","DC003","dc01.contoso.com","GC","TCP","3268","true","Open","19","Info","None","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json",""
"P012","DC003","dc01.contoso.com","GC-LDAPS","TCP","3269","true","Open","21","Info","None","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json",""
