"EndpointId","Area","Source","Destination","Protocol","Port","Direction","Purpose","EvidenceType","ReferenceSource","Notes"
"EP001","Entra Connect to AD DS","Entra Connect server","Destination AD forest DNS servers","TCP/UDP","53","Outbound","DNS lookups on the destination forest.","ReferenceOnly","https://learn.microsoft.com/en-us/entra/identity/hybrid/connect/reference-connect-ports","Review requirement only; not reachability proof."
"EP002","Entra Connect to AD DS","Entra Connect server","Destination AD forest domain controllers","TCP/UDP","88","Outbound","Kerberos authentication to AD DS.","ReferenceOnly","https://learn.microsoft.com/en-us/entra/identity/hybrid/connect/reference-connect-ports","Review requirement only; not reachability proof."
"EP003","Entra Connect to AD DS","Entra Connect server","Destination AD forest domain controllers","TCP","135","Outbound","RPC endpoint mapper for forest binding and password synchronization.","ReferenceOnly","https://learn.microsoft.com/en-us/entra/identity/hybrid/connect/reference-connect-ports","Review requirement only; not reachability proof."
"EP004","Entra Connect to AD DS","Entra Connect server","Destination AD forest domain controllers","TCP/UDP","389","Outbound","LDAP data import from AD DS.","ReferenceOnly","https://learn.microsoft.com/en-us/entra/identity/hybrid/connect/reference-connect-ports","Review requirement only; not reachability proof."
"EP005","Entra Connect to AD DS","Entra Connect server","Destination AD forest domain controllers","TCP","445","Outbound","SMB for Seamless SSO setup and password writeback workflows where used.","ReferenceOnly","https://learn.microsoft.com/en-us/entra/identity/hybrid/connect/reference-connect-ports","Review requirement only; not reachability proof."
"EP006","Entra Connect to AD DS","Entra Connect server","Destination AD forest domain controllers","TCP/UDP","636","Outbound","LDAPS data import when TLS is used.","ReferenceOnly","https://learn.microsoft.com/en-us/entra/identity/hybrid/connect/reference-connect-ports","Review requirement only; not reachability proof."
"EP007","Entra Connect to AD DS","Entra Connect server","Destination AD forest global catalog","TCP","3268","Outbound","Global catalog lookup for Seamless SSO workflows.","ReferenceOnly","https://learn.microsoft.com/en-us/entra/identity/hybrid/connect/reference-connect-ports","Review requirement only; not reachability proof."
"EP008","Entra Connect to AD DS","Entra Connect server","AD DS Web Services","TCP","9389","Outbound","AD DS Web Services when AD FS with gMSA is installed by the wizard.","ReferenceOnly","https://learn.microsoft.com/en-us/entra/identity/hybrid/connect/reference-connect-ports","Review requirement only; not reachability proof."
"EP009","Entra Connect to AD DS","Entra Connect server","Destination AD forest domain controllers","TCP","49152-65535","Outbound","Modern Windows dynamic RPC range unless customized.","ReferenceOnly","https://learn.microsoft.com/en-us/entra/identity/hybrid/connect/reference-connect-ports","Review requirement only; not reachability proof."
"EP010","Entra Connect to Entra ID","Entra Connect server","Microsoft Entra ID and certificate revocation endpoints","TCP","80","Outbound","CRL downloads for TLS certificate validation.","ReferenceOnly","https://learn.microsoft.com/en-us/entra/identity/hybrid/connect/reference-connect-ports","Review requirement only; not reachability proof."
"EP011","Entra Connect to Entra ID","Entra Connect server","Microsoft Entra ID","TCP","443","Outbound","Synchronization with Microsoft Entra ID.","ReferenceOnly","https://learn.microsoft.com/en-us/entra/identity/hybrid/connect/reference-connect-ports","Review requirement only; not reachability proof."
"EP012","Entra Connect to AD FS/WAP","Entra Connect server","AD FS federation and WAP servers","TCP","5985","Outbound","WinRM listener used by the Entra Connect wizard for AD FS/WAP configuration workflows.","ReferenceOnly","https://learn.microsoft.com/en-us/entra/identity/hybrid/connect/reference-connect-ports","Review requirement only; not reachability proof."
"EP013","WAP to AD FS","Web Application Proxy","AD FS federation servers","TCP","443","Outbound","Authentication traffic from WAP to federation servers.","ReferenceOnly","https://learn.microsoft.com/en-us/windows-server/identity/ad-fs/deployment/best-practices-securing-ad-fs","Review requirement only; not reachability proof."
"EP014","Users to WAP","Users and clients","Web Application Proxy","TCP","443","Inbound","Device and browser authentication traffic.","ReferenceOnly","https://learn.microsoft.com/en-us/windows-server/identity/ad-fs/deployment/best-practices-securing-ad-fs","Review requirement only; not reachability proof."
"EP015","Users to WAP","Users and clients","Web Application Proxy","TCP","49443","Inbound","Certificate authentication when enabled.","ReferenceOnly","https://learn.microsoft.com/en-us/windows-server/identity/ad-fs/deployment/best-practices-securing-ad-fs","Optional; review requirement only; not reachability proof."
"EP016","AD FS farm sync","AD FS federation servers and WAP","Farm peers and proxies","TCP","80","Restricted internal","Configuration synchronization and some load balancer probes.","ReferenceOnly","https://learn.microsoft.com/en-us/windows-server/identity/ad-fs/deployment/best-practices-securing-ad-fs","Restrict to farm, proxy, and approved load balancer addresses."
"EP017","PTA agent to Entra ID","Pass-through Authentication agent","Microsoft Entra ID and CRL endpoints","TCP","80","Outbound","CRL downloads and connector auto-update support.","ReferenceOnly","https://learn.microsoft.com/en-us/entra/identity/hybrid/connect/how-to-connect-pta-quick-start","Review requirement only; not reachability proof."
"EP018","PTA agent to Entra ID","Pass-through Authentication agent","Microsoft Entra ID","TCP","443","Outbound","Agent registration, updates, status, and sign-in request handling.","ReferenceOnly","https://learn.microsoft.com/en-us/entra/identity/hybrid/connect/how-to-connect-pta-quick-start","Review requirement only; not reachability proof."
"EP019","PTA agent status","Pass-through Authentication agent","Microsoft Entra ID","TCP","8080","Outbound","Optional status reporting fallback if 443 is unavailable.","ReferenceOnly","https://learn.microsoft.com/en-us/entra/identity/hybrid/connect/how-to-connect-pta-quick-start","Optional; not used for user sign-ins."
"EP020","PTA agent endpoints","Pass-through Authentication agent","*.msappproxy.net; *.servicebus.windows.net; login.windows.net; login.microsoftonline.com","TCP","443","Outbound","PTA service connectivity and initial registration endpoints.","ReferenceOnly","https://learn.microsoft.com/en-us/entra/identity/hybrid/connect/how-to-connect-pta-quick-start","Review with current Microsoft URL/IP guidance."
"EP021","Connect Health","Microsoft Entra Connect Health agent","Microsoft Entra ID","TCP","443","Outbound","Health telemetry fallback and current required port for recent agents.","ReferenceOnly","https://learn.microsoft.com/en-us/entra/identity/hybrid/connect/reference-connect-ports","Review requirement only; not reachability proof."
"EP022","Connect Health","Microsoft Entra Connect Health agent","Azure Service Bus","TCP","5671","Outbound","Health telemetry for older/recommended agent configurations.","ReferenceOnly","https://learn.microsoft.com/en-us/entra/identity/hybrid/connect/reference-connect-ports","May not be required for latest agent versions; review current Microsoft guidance."
