"Setting","Value","Notes"
"Name","mock-forest-sites","Used for output file names"
"Title","Mock Active Directory Sites And Services Diagram","Shown at the top of the generated SVG"
"Subtitle","Offline mock forest showing AD sites site links replication topology domain controllers and subnets","Shown under the title in the generated SVG"
"InputPath",".\04-examples\mock-forest-sites\input","Folder containing normalized diagram CSV files"
"OutputPath",".\04-examples\mock-forest-sites\output","Folder where generated SVG and inventory JSON are written"
"ObjectsCsv","diagram-objects.csv","Relative to InputPath unless rooted"
"LineOfSightLinksCsv","line-of-sight-links.csv","Relative to InputPath unless rooted"
"PortsProtocolsCsv","ports-protocols.csv","Relative to InputPath unless rooted"
"ExpansionCsv","ad-site-domain-controller-expansion.csv","Preferred AD Sites expansion CSV"
"SubnetsCsv","ad-site-subnets.csv","AD subnet support table CSV"
"ReplicationConnectionsCsv","replication-connections.csv","Configured replication connection objects"
"ReplicationPartnerMetadataCsv","replication-partner-metadata.csv","Observed replication partner metadata"
"ReplicationFailuresCsv","replication-failures.csv","Observed replication failures"
"ReplicationTopologyEdgesCsv","replication-topology-edges.csv","Configured and observed replication topology evidence"
"ReplicationHealthSummaryCsv","replication-health-summary.csv","Per-domain-controller replication health summary"
"AdDomainServerExpansionCsv","ad-domain-server-expansion.csv","Compatibility CSV for older sample renderer patterns"
"LayoutMode","ring","AD Sites MVP uses ring layout"
"DenseLinkThreshold","20","Hide inline link labels above this link count"
"DenseSiteThreshold","15","Hide inline link labels above this site count"
"PythonCommand","","Optional path or command name for Python 3"
